"Modelo","Grupo","Promedio_pLDDT"
"t03_2025_07_03_11_59_6","t03",96.1949132686084
"t01_2025_07_03_11_45","t01",96.194772815534
"t03_2025_07_03_11_59_3","t03",96.1778676277851
"t02_2025_07_03_11_48","t02",96.033289021164
"t02_2025_07_03_11_51_2","t02",96.0193764358385
"t03_2025_07_03_12_00_8","t03",95.9607155903457
"t03_2025_07_03_11_59_4","t03",95.8787344521224
"t02_2025_07_03_11_48_2","t02",95.8745725413827
"t02_2025_07_03_11_50_3","t02",95.8485165476963
"t02_2025_07_03_11_49_3","t02",95.8480046189377
